,abstract,authors
2,"We introduce bag context, a device for regulated rewriting in tree grammars. Rather than being part of the developing tree, bag context (bc) evolves on its own during a derivation. We show that the class of bc tree languages is the closure of the class of random context tree languages under linear top-down tree transductions. Further, an interchange theorem for subtrees of dense trees in bc tree languages is established. This result implies that the class of bc tree languages is incomparable with the class of branching synchronization tree languages.","['Frank Drewes', 'Christine du Toit', 'Sigrid Ewert', 'Brink van der Merwe', 'Andries P. J. van der Walt']"
11,"In addition to science citation indicators of journals like impact and immediacy, social network analysis provides a set of centrality measures like degree, betweenness, and closeness centrality. These measures are first analyzed for the entire set of 7,379 journals included in the Journal Citation Reports of the Science Citation Index and the Social Sciences Citation Index 2004 (Thomson ISI, Philadelphia, PA), and then also in relation to local citation environments that can be considered as proxies of specialties and disciplines. Betweenness centrality is shown to be an indicator of the interdisciplinarity of journals, but only in local citation environments and after normalization; otherwise, the influence of degree centrality (size) overshadows the betweenness-centrality measure. The indicator is applied to a variety of citation environments, including policy-relevant ones like biotechnology and nanotechnology. The values of the indicator remain sensitive to the delineations of the set because of the indicator's local character. Maps showing interdisciplinarity of journals in terms of betweenness centrality can be drawn using information about journal citation environments, which is available online.",['Loet Leydesdorff']
7,"Player strategy pattern recognition (PSPR) is to apply pattern recognition and its approach to identification of player's strategy during the gameplay. Correctly identified player's strategy, which is called knowledge, could be used to improve game opponent AI which can be implemented by KB-UCT (knowledge-based upper confidence bound for trees). KB-UCT improves adaptability of game AI, the challenge level of the gameplay, and the performance of the opponent AI; as a result the entertainment of game is promoted. In this paper, the prey and predator game genre of dead end game is used as a test-bed. During the PSPR, classification algorithm of KNN (k-nearest neighbor) is chosen to analyze off-line data from the simulated gamers who are choosing different strategies. Based on the information from PSPR, the game AI is promoted through application of KB-UCT, in this case, domain knowledge is used for UCT tree pruning; as a result the performance of the opponent AI is enhanced.","['Suoju He', 'Yi Wang', 'F. X. Xie', 'Jin Meng', 'Hongtao Chen', 'S.‐G. Luo', 'Zhiqing Liu', 'Qiliang Zhu']"
14,"Cinematic virtual reality (VR) aims to provide immersive visual experiences of real-world scenes on head-mounted displays. Current cinematic VR systems support stereo cues, but not focus cues that are important for depth perception and comfortable viewing. We propose a new content representation, depth augmented stereo panorama (DASP), which permits generating light fields (LFs) across the observer's pupils, achieving an order of magnitude reduction in data requirements compared to the existing techniques. The LF generation and refocusing capabilities of DASP are evaluated for both, computer-generated and real scenes. Results indicate that DASP can successfully create stereo as well as support focus cues.","['Jayant Thatte', 'Jean-Baptiste Boin', 'Haricharan Lakshman', 'Gordon Wetzstein', 'Bernd Girod']"
15,"With the increasing demand and popularity of multimedia streaming applications over the current Internet, manipulating MPEG streams in a real-time software manner is gaining more and more importance. In this work, we studied the synchronization problem that arises when a gateway changes the data content carried in an MPEG2 Transport stream. In short, the distance between original time stamps will be changed non-uniformly when the video frames are resized, and decoders will fail to reconstruct the encoding clock from the resulting stream. We propose a cheap software real-time approach to solve this problem, which basically reuses the original time stamp packets and adapts their distance to accommodate the changes in bit rate. Experimental results from a real-time HDTV stream filter shows that our approach is correct and efficient.","['Bin Yu', 'M. Nahrstedt']"
5,"Motivation: Most proteins consist of multiple domains, independent structural and evolutionary units that are often reshuffled in genomic rearrangements to form new protein architectures. Template-based modeling methods can often detect homologous templates for individual domains, but templates that could be used to model the entire query protein are often not available.#R##N##R##N#Results: We have developed a fast docking algorithm ab initio domain assembly (AIDA) for assembling multi-domain protein structures, guided by the ab initio folding potential. This approach can be extended to discontinuous domains (i.e. domains with ‘inserted’ domains). When tested on experimentally solved structures of multi-domain proteins, the relative domain positions were accurately found among top 5000 models in 86% of cases. AIDA server can use domain assignments provided by the user or predict them from the provided sequence. The latter approach is particularly useful for automated protein structure prediction servers. The blind test consisting of 95 CASP10 targets shows that domain boundaries could be successfully determined for 97% of targets.#R##N##R##N#Availability and implementation: The AIDA package as well as the benchmark sets used here are available for download at http://ffas.burnham.org/AIDA/.#R##N##R##N#Contact: gro.mahnrubdrofnas@mada#R##N##R##N#Supplementary information: Supplementary data are available at Bioinformatics online.","['Dong Xu', 'Lukasz Jaroszewski', 'Zhanwen Li', 'Adam Godzik']"
12,"We give here a new, topological, definition of automata that extends previous definitions of probabilistic and quantum automata. We then prove in an unified framework that deterministic or non-deterministic probabilistic and quantum automata with an isolatedthreshold recognize only regular languages.",['Emmanuel Jeandel']
6,"In the process of mapping compute-intensive algorithms onto arrays of processing elements (PEs) an efficient usage of channels between PEs and registers within PEs is crucial for achieving a significant algorithm acceleration. In this paper this problem is solved for algorithms represented as systems of uniform recurrence equations. We address an optimization problem in order to realize the algorithmic data dependencies within the processor array (PA) with minimum cost for channels and registers. There, we use a new mapping approach which allows a direct mapping of the algorithm onto the PA by a partitioning method. In contrast to existing approaches, we consider the issue of avoiding redundant usage of channels and registers, which can appear if one instance of a variable has to be transferred from a source PE to several sink PEs. Further, a solution of the optimization problem determines the schedule for the transfer of the variable instances in the channels and their storage in registers as well as the inner schedule for the operations in the PEs. We illustrate our method on the edge detection algorithm.","['Sebastian Siegel', 'Renate Merker']"
19,"Android applications often rely on alarms to schedule background tasks. Since Android KitKat, applications can opt-in for deferrable alarms, which allows the OS to perform alarm batching to reduce device awake time and increase the chances of network traffic being generated simultaneously by different applications. This mecha- nism can result in significant battery savings if appropriately adopted. In this paper we perform a large scale study of the 22,695 most popular free applications in the Google Play Market to quantify whether expec- tations of more energy efficient background app execution are indeed warranted. We identify a significant chasm between the way application developers build their apps and Android's attempt to address energy inefficiencies of background app execution. We find that close to half of the applications using alarms do not benefit from alarm batching capa- bilities. The reasons behind this is that (i) they tend to target Android SDKs lagging behind by more than 18 months, and (ii) they tend to feature third party libraries that are using non-deferrable alarms.","['Mario Almeida', 'Muhammad Bilal', 'Jeremy Blackburn', 'Konstantina Papagiannaki']"
17,"We consider deterministic anonymous distributed systems with broadcast communications where each node has some initial value, and the goal is to compute a function of all these values. We show that only a very restricted set of functions can be computed if the nodes do not know (and cannot use) the number of their out-neighbors. Our results remain valid even if nodes know the precise structure of the network but do not know where they lie within the structure. They also remain valid if nodes know their out-degree up to an uncertainty of 1. These results are a variation of those obtained by Boldi and Vigna (1997) for a weaker computation model. As a consequence, computing more complex functions in the context of broadcast communications requires the explicit or implicit knowledge or use of either (a) the out-degree of each node, (b) global node identifiers, (c) randomization, or (d) asynchronous updates with specific properties.","['Julien M. Hendrickx', 'John N. Tsitsiklis']"
